MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
alw+N708+N393+N428+E195+E119	17.05614	13.31671	1645.9	2703.99	0.61464
alw+N93+N188+N384+E202+E92	12.57914	8.95683	2249.95	4618.55	0.487
anh+N144+N499+E195	13.90342	10.08753	1995.34	3606.05	0.51714
anh+N147+N606+E66	15.88126	12.55942	1980.65	3700.93	0.52662
anh+N220+N186+E202	14.66896	11.52909	1982.09	4230.4	0.6108
anh+N265+N484+E141	21.57263	16.29399	1480.16	6007.4	0.68704
anh+N290+N117+E44	13.56333	10.62068	2103.9	3899.55	0.57522
anh+N339+N23+E209	25.13928	20.13759	1142.64	5896.07	0.7786
anh+N425+N410+E71	17.05199	12.24396	1722.77	5342.4	0.62718
anh+N438+N320+E112	20.42855	18.81499	1328.73	4350.23	0.71114
anh+N483+N411+E178	22.57965	19.11482	1308.59	6258.42	0.72988
anh+N529+N415+E86	21.29813	16.56522	1361.35	5776.4	0.72618
anh+N556+N353+E177	16.84717	13.19679	1748.25	3650.32	0.5537
anh+N574+N186+E162	13.02124	9.62953	2145.25	4897.2	0.50868
anh+N574+N474+E71	12.18046	9.70395	2058.62	4840.93	0.44942
anh+N622+N687+E139	11.88273	9.55976	2008.98	4107.5	0.48064
anh+N667+N315+E158	14.47121	13.57235	1742.28	3883.84	0.62304
ant+N474+N162+E88	15.33735	11.46991	1825.0	5844.77	0.58724
ant+N611+N568+E162	14.75492	12.46318	1846.5	4193.9	0.56894
ant+N96+N248+E44	15.43981	13.88331	1817.62	5111.52	0.63694
apo+N150+N183+E98	17.59521	14.9366	1354.5	5823.64	0.71534
apo+N160+N494+E155	19.29174	15.95686	1360.85	4067.49	0.71714
apo+N176+N105+E156	11.64308	8.54691	2176.58	4809.45	0.4884
apo+N20+N678+E189	20.16265	16.75589	1219.34	6729.89	0.76494
apo+N315+N483+E172	23.5511	19.34724	991.768	5518.73	0.80966
apo+N353+N574+E137	19.73938	17.02418	1469.11	4638.58	0.64684
apo+N410+N213+E112	20.26261	17.40895	1205.55	7361.79	0.76634
apo+N415+N336+E116	24.63061	19.43599	1021.77	6188.18	0.79438
apo+N416+N116+E26	18.16739	14.57623	1384.0	6422.54	0.73914
apo+N416+N314+E222	28.97264	22.73046	829.042	7569.04	0.84836
apo+N60+N311+E218	17.33373	14.39905	1379.05	5593.36	0.7379
apo+N610+N77+E160	18.61728	14.8499	1423.55	4837.15	0.69062
apo+N682+N341+E187	21.34229	15.76942	1358.72	5095.94	0.73022
apo+N682+N690+E167	10.18963	7.62	2469.82	4076.21	0.39822
apo+N79+N392+E155	24.57156	20.75771	1023.94	4918.61	0.8078
asc+N176+N286+N398+E135+E185	13.17908	9.7278	1910.19	2638.74	0.48986
asc+N18+N340+N450+E195+E54	23.04273	20.41991	1182.29	4891.97	0.7635
asc+N196+N286+N164+E115+E132	10.59848	7.67202	2174.82	3428.12	0.42622
asc+N277+N340+N158+E150+E116	23.28783	19.37851	1218.56	6099.85	0.74432
asc+N377+N92+N52+E201+E128	18.60693	13.52229	1548.34	3895.82	0.64474
asc+N429+N340+N310+E189+E76	14.90337	12.68556	1793.74	5197.96	0.6215
asc+N473+N447+N461+E49+E89	18.25451	15.573	1372.43	4529.3	0.65472
asc+N477+N447+N109+E162+E219	13.44251	10.34445	2078.07	5152.18	0.52582
asc+N485+N433+N627+E134+E145	19.29333	16.49888	1473.06	4499.37	0.67818
asc+N558+N574+N398+E40+E132	18.70971	17.66198	1553.43	5679.18	0.6723
asc+N679+N422+N57+E215+E130	28.9656	21.26851	896.494	7432.33	0.82836
asc+N79+N102+N237+E210+E218	26.62937	20.1634	941.219	6343.54	0.822
asc+N80+N340+N158+E89+E2	25.18228	23.57794	1016.79	6435.22	0.7972
asf+N365+N492+E11+E50	25.91815	15.651	1143.23	5224.68	0.75622
asf+N390+N282+E204+E165	21.95026	13.89189	1432.24	4500.2	0.67284
asf+N470+N89+E0+E120	19.7969	13.67518	1619.14	4125.28	0.58094
asp+N115+N172+N571+E110+E57	17.45969	12.83168	1531.06	5370.38	0.71142
asp+N156+N671+N682+E199+E31	16.52817	13.24952	1639.91	4502.53	0.69308
asp+N161+N383+N611+E30+E112	20.15985	17.44124	1153.51	6534.72	0.78818
asp+N219+N172+N571+E90+E11	21.28621	14.8373	1386.62	5915.32	0.72612
asp+N276+N254+N411+E109+E104	19.92973	13.48197	1632.64	4664.23	0.6574
asp+N2+N172+N713+E142+E169	22.22347	15.59541	1262.67	5396.16	0.76828
asp+N327+N332+N19+E5+E233	18.62439	12.96173	1614.54	3914.66	0.65778
asp+N32+N172+N519+E64+E122	22.9386	19.81114	1020.95	5584.4	0.80172
asp+N393+N254+N48+E201+E38	20.3121	15.15662	1347.46	5879.74	0.7459
asp+N3+N300+N429+E14+E74	14.14379	7.82148	2308.4	4160.49	0.45966
asp+N434+N651+N516+E105+E98	19.89049	14.99751	1333.0	5745.16	0.74618
asp+N492+N671+N477+E208+E68	19.04813	15.00167	1428.33	5122.47	0.72466
asp+N627+N572+N579+E142+E162	11.47462	8.28815	2317.86	3975.75	0.48216
asp+N68+N300+N477+E97+E119	15.88246	11.74719	1839.84	5880.3	0.62518
asp+N68+N651+N695+E135+E37	14.24293	11.08953	1906.05	4484.31	0.59014
asp+N73+N332+N440+E150+E80	23.63012	19.09453	1021.0	5373.87	0.8021
asp+N73+N651+N682+E2+E80	21.89136	18.37287	1067.86	5497.38	0.8032
asp+N93+N651+N20+E63+E36	20.84395	14.51871	1360.92	6270.87	0.74288
ast+N256+N693+E120+E202	28.26113	9.05453	1482.33	4721.35	0.69074
ast+N434+N256+E70+E123	29.07646	13.59259	1373.17	4226.43	0.72024
asv+N100+N52+E129+E15	46.63551	40.5222	905.879	4298.44	0.79658
asv+N128+N219+E213+E232	47.77703	42.79842	740.201	6055.59	0.8494
asv+N200+N238+E89+E196	38.88048	33.56878	1042.03	6201.2	0.77966
asv+N207+N73+E92+E213	31.56704	27.65864	1246.29	4593.0	0.72694
asv+N29+N99+E4+E151	51.36602	43.72704	606.377	7843.1	0.88528
asv+N43+N156+E96+E38	44.24006	39.78402	857.139	5538.68	0.83788
asv+N547+N305+E187+E173	36.07164	30.92628	1037.52	4761.92	0.77002
asv+N616+N109+E146+E20	30.17025	27.60237	1161.98	5456.16	0.7751
asv+N654+N76+E149+E61	35.8187	30.6555	1132.83	6168.81	0.77114
asv+N87+N113+E58+E33	23.34414	16.82606	1600.52	5094.41	0.66494
asv+N93+N39+E147+E112	53.54275	47.27006	640.685	8168.16	0.87954
atn+N115+E79	17.89141	13.20978	1773.94	3357.58	0.49158
atn+N164+E48	12.98226	9.04003	2399.22	3918.52	0.4159
atn+N238+E192	24.02456	18.49066	1598.15	5700.76	0.67388
atn+N238+E226	10.92156	8.21845	1629.01	1769.06	0.18796
atn+N276+E92	16.74958	15.2131	2032.29	3867.89	0.51758
atn+N371+E151	25.3879	18.71005	1549.05	4386.93	0.64662
atn+N434+E151	23.98445	19.53391	1527.65	4290.39	0.6653
atn+N450+E29	27.19624	19.03298	1448.11	5748.21	0.71546
ats+N208+N650+N695+E180+E40	11.98671	6.98328	1952.52	2056.61	0.2812
ats+N290+N444+N231+E232+E63	12.99852	9.9906	2263.04	4163.47	0.45822
ats+N339+N650+N163+E143+E162	8.6186	5.63129	2254.09	2155.74	0.22266
ats+N339+N650+N18+E84+E69	6.50455	3.96456	863.015	552.114	0.0553
ats+N36+N444+N60+E120+E190	6.65004	4.45471	1889.15	1950.33	0.12666
ats+N37+N650+N717+E3+E83	9.59892	8.01161	2410.64	3499.99	0.41306
ats+N382+N444+N231+E3+E36	10.07384	7.66073	2515.22	4403.6	0.39814
ats+N447+N650+N535+E180+E147	10.88229	5.1159	1635.96	1538.37	0.21798
ats+N494+N444+N558+E232+E158	11.013	8.83749	2328.5	4353.92	0.41122
ats+N505+N650+N117+E203+E3	10.52965	8.20461	2517.84	3548.64	0.39316
ats+N540+N444+N18+E170+E50	16.24655	11.38414	1893.71	5249.71	0.57934
ats+N552+N444+N474+E145+E206	13.95639	8.57156	2050.37	3229.13	0.4603
ats+N570+N444+N592+E131+E135	8.12948	5.40812	2281.65	2829.47	0.21874
ats+N666+N650+N410+E116+E30	11.99005	8.39049	2280.82	3647.18	0.40808
ats+N674+N444+N621+E111+E135	13.31631	11.08027	2045.31	4254.6	0.54472
ats+N680+N444+N48+E3+E182	12.82592	9.05864	2235.61	4816.37	0.48834
ats+N85+N650+N321+E114+E72	15.04937	11.12955	1955.78	4512.51	0.55762
att+N113+N190+E220+E223+E133	31.50455	26.704	1106.5	5339.06	0.77592
att+N238+N50+E98+E230+E91	41.91595	31.89737	675.867	6732.32	0.87414
att+N271+N435+E109+E234+E27	26.11355	21.46568	1050.49	4962.66	0.75842
att+N305+N693+E141+E195+E221	25.38397	21.47564	1200.13	5621.71	0.76344
att+N32+N158+E181+E56+E213	38.98953	29.58941	833.51	5575.48	0.83976
att+N34+N2+E3+E135+E47	36.80374	26.98464	830.071	6380.38	0.83536
att+N393+N3+E92+E233+E199	17.02269	13.67378	1721.39	3524.22	0.57056
att+N437+N158+E88+E45+E232	30.61147	24.01639	1113.76	5871.73	0.78242
att+N466+N700+E37+E226+E222	25.393	20.97585	1377.36	4397.1	0.7063
att+N514+N492+E17+E98+E223	32.37724	24.43871	924.289	6980.93	0.8189
att+N515+N450+E114+E156+E121	39.68943	31.98795	753.718	7261.77	0.86256
att+N601+N129+E233+E213+E143	31.02151	25.32661	942.971	6789.54	0.81374
att+N627+N158+E180+E232+E54	29.25853	25.22504	1147.62	4712.56	0.75754
att+N627+N514+E212+E146+E99	20.32349	17.39016	1535.9	3479.86	0.63666
att+N68+N57+E50+E186+E145	35.03098	30.4796	1066.62	5775.92	0.78312
atv+N237+N215+E151+E212+E229	21.68374	15.90262	1630.57	4657.04	0.65206
atv+N388+N109+E224+E38+E232	20.56897	16.87355	1697.56	5836.09	0.63638
atv+N514+N256+E37+E147+E221	21.7527	19.15348	1644.78	5760.0	0.6557
atv+N697+N109+E70+E130+E3	21.37902	18.16873	1616.59	4409.49	0.64802
aww+N115+N164+E26+E156+E184	28.45254	19.65481	1396.03	4631.75	0.7056
aww+N184+N271+E102+E182+E171	26.25399	17.17897	1506.9	2767.32	0.61748
aww+N305+N34+E38+E0+E110	33.45295	26.77461	1221.3	4750.34	0.75692
aww+N461+N434+E15+E78+E59	24.31918	15.80192	1491.17	4716.18	0.67814
aww+N514+N184+E13+E37+E168	23.42971	15.30173	1697.19	5373.5	0.6414
aww+N73+N218+E76+E206+E59	27.59094	17.05707	1487.43	4355.43	0.67322
baa-e+N340+N491+E202+E16+E130	13.6717	9.95588	1828.08	2535.14	0.45418
baa+N113+N327+E195+E33	28.59415	20.88554	967.303	2712.75	0.79162
baa+N12+N89+E19+E3	16.45374	11.6371	1948.43	6220.04	0.58834
baa+N164+N304+E139+E195	14.50005	10.67044	1971.4	3776.03	0.54946
baa+N200+N190+E26+E166	16.8802	13.2145	1529.04	6939.6	0.70468
baa+N211+N520+E70+E173	13.26732	9.51517	2052.64	4186.38	0.53366
