MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
acs-a+N50+E71	43.91365	40.05328	727.371	7049.63	0.85008	0.0	0.0	0.0022402597402597	0.0873457792207792	0.7516477272727274	0.0064123376623376	0.0042126623376623	0.003262987012987	0.0026866883116883	0.1421915584415584
acs-a+N520+E92	29.29293	27.65951	1416.4	3794.17	0.65984	0.0	0.0	0.00681762843925	0.1604577550523496	0.483216807541132	0.0124526070472016	0.0073741695363316	0.0075133048106021	0.0058436815193571	0.3163240460537758
acs-a+N562+E127	36.88562	33.0957	845.008	3834.53	0.81732	0.0	0.0	0.0004943047496238	0.0978293574038255	0.7068987749838815	0.0077154523963034	0.0049430474962389	0.0037610143993122	0.0032022351171287	0.1751558134536858
acs-a+N708+E216	27.88158	24.50376	1170.78	6237.68	0.75902	0.0	3.3738191632928474e-05	0.0070681511470985	0.1272435897435897	0.609041835357625	0.0102732793522267	0.0067813765182186	0.0056005398110661	0.0037280701754385	0.2302294197031039
acs-a+N93+E173	35.79762	32.4883	908.599	6357.26	0.8069	0.0	0.0	0.003419384057971	0.1091259057971014	0.6820765398550727	0.0079823369565217	0.0050384963768115	0.0039741847826086	0.0034080615942028	0.1849750905797101
acs-f+N117+E158	10.90877	5.94233	2762.58	3959.25	0.35424	0.0	0.0	0.0271850798166587	0.2578631262841789	0.0497076023391813	0.0213371266002844	0.0164374901217006	0.0131183815394341	0.0117749328275644	0.6025762604709974
acs-f+N117+E195	13.15991	7.60285	2544.42	5348.68	0.48066	0.0	0.0	0.0107683982683982	0.3372835497835498	0.1081709956709956	0.0201298701298701	0.0143398268398268	0.0109307359307359	0.0096320346320346	0.4887445887445888
acs-f+N246+E57	11.63106	7.57259	2702.36	4422.82	0.4653	0.0	0.0	0.002770083102493	0.3137748677914883	0.1320406278855032	0.0228322001175186	0.0186351045076806	0.0122555191807269	0.0112482162343658	0.4864433811802234
acs-f+N315+E112	33.39523	26.4993	743.976	6910.81	0.86728	0.0	0.0	0.0005582237950792	0.086071789686552	0.7704962925513988	0.0069514661274014	0.0046343107516009	0.0032440175261206	0.0028648466464442	0.1251790529154028
acs-f+N411+E217	12.86263	8.27039	2448.27	6085.55	0.47494	0.0	0.0	0.0134099616858237	0.3080034057045552	0.1280686817085284	0.0203277990634312	0.0135518660422875	0.0103590180218532	0.008833546189868	0.4974457215836527
