MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
mof_11571	24.63314	22.49435	1577.19	5345.18	0.65162
mof_11572	28.34782	23.51003	1228.88	6190.19	0.76118
mof_11573	28.88632	22.80338	1183.39	6341.79	0.7701
mof_11574	30.68214	24.61309	1024.99	6670.55	0.80534
mof_11575	31.95489	24.33251	974.228	6181.54	0.81948
mof_11576	31.20266	22.55717	1020.25	5804.68	0.7873
mof_11577	31.20944	22.19581	995.936	6702.35	0.81428
mof_11578	30.74103	24.54193	1032.86	6848.44	0.808
mof_11579	33.4474	23.76204	940.744	6644.57	0.81718
mof_1157	35.35884	33.92626	1390.69	3929.83	0.69288
mof_11580	15.02261	11.63465	1975.07	3712.03	0.52582
mof_11581	32.34437	23.88786	965.616	6490.46	0.8144
mof_11582	34.82048	25.16499	922.297	6889.91	0.826
mof_11583	35.7511	25.65119	847.966	5987.63	0.84466
mof_11584	38.95961	28.29828	798.273	6776.74	0.84666
mof_11585	38.1958	27.68773	773.738	6378.77	0.851
mof_11586	39.16314	28.48763	744.853	5750.03	0.86256
mof_11587	41.78245	29.99834	693.325	7421.47	0.87284
mof_11588	41.14286	32.74685	711.601	7344.69	0.86906
mof_11589	14.34309	10.30728	2018.77	3619.7	0.4915
mof_1158	34.39803	32.00792	1375.15	3728.9	0.662
mof_11590	12.85968	10.23459	2142.53	3577.74	0.4629
mof_11591	15.26394	11.43087	1998.36	3663.62	0.52458
mof_11592	17.98842	11.9804	1772.48	3557.84	0.52028
mof_11593	14.2101	9.395	1877.04	3229.03	0.4314
mof_11594	16.13754	9.61006	1882.52	3304.08	0.46404
mof_11595	13.45673	12.7305	1688.39	1507.78	0.36308
mof_11596	21.79376	20.20195	1689.39	3632.22	0.56606
mof_11597	22.99489	21.31908	1488.75	3060.71	0.56896
mof_11598	24.13567	22.51774	1622.83	3919.33	0.62618
mof_11599	24.55058	22.57773	1597.47	3657.37	0.64954
mof_1159	34.50242	32.34847	1387.23	3579.11	0.66828
mof_115	8.96884	5.84691	2688.5	5478.37	0.32128
mof_11600	24.7486	22.95413	1530.03	4322.78	0.67372
mof_11601	21.83724	19.66702	1568.13	4432.39	0.66984
mof_11602	27.54972	25.05714	1321.03	4563.93	0.7371
mof_11603	27.72824	26.22112	1405.61	4720.91	0.70468
mof_11604	26.9748	25.72032	1400.88	4396.55	0.71144
mof_11605	30.81795	28.53694	1321.08	5302.92	0.74642
mof_11606	14.70702	12.79775	2068.52	2851.8	0.48388
mof_11607	30.49826	28.93813	1264.69	5047.36	0.7461
mof_11608	21.81379	19.4752	1385.36	4856.58	0.71362
mof_11609	32.55185	30.4662	1267.02	5050.14	0.73976
mof_1160	38.58428	37.05547	1282.6	4179.59	0.7087
mof_11610	33.35448	31.20952	1171.33	5128.04	0.75974
mof_11611	34.60632	32.06584	1129.2	5269.55	0.77044
mof_11612	34.34421	32.02659	1093.46	5101.75	0.778
mof_11613	35.51177	32.50183	1079.59	4686.43	0.7905
mof_11614	34.73273	31.29366	1016.72	5567.43	0.81424
mof_11615	31.36674	29.31691	1232.36	5227.41	0.75022
mof_11616	35.99389	33.29025	1051.3	5808.14	0.79948
mof_11617	17.73376	17.14629	1829.71	3131.43	0.54812
mof_11618	34.80513	32.73003	1019.44	5343.04	0.80448
mof_11619	34.66765	33.11269	1142.88	4811.94	0.73484
mof_1161	24.20411	23.34157	1407.86	1873.63	0.48262
mof_11620	36.56447	34.77101	1128.05	6093.68	0.7955
mof_11621	37.12441	34.77462	1130.78	6069.63	0.79052
mof_11622	39.14126	35.20967	1011.78	6129.41	0.81494
mof_11623	38.07351	34.90435	961.47	5634.5	0.82756
mof_11624	40.281	37.88479	955.976	5448.6	0.8088
mof_11625	37.75072	34.68134	978.171	5971.15	0.81928
mof_11626	37.30976	35.16378	954.159	5798.41	0.81934
mof_11627	41.05035	38.18257	889.059	5912.24	0.82768
mof_11628	20.42196	18.85459	1744.97	3366.64	0.60284
mof_11629	39.41091	36.94866	925.718	5786.22	0.822
mof_1162	39.32741	38.64197	1255.37	4101.99	0.71004
mof_11630	41.73397	38.4749	893.653	6090.87	0.83028
mof_11631	42.38015	38.69181	842.529	5396.95	0.84538
mof_11632	45.96097	42.52593	792.978	6110.98	0.84724
mof_11633	46.17402	42.39748	766.524	5762.37	0.85356
mof_11634	46.31319	42.47219	746.954	5269.81	0.86082
mof_11635	48.66328	44.63543	698.698	6613.12	0.87228
mof_11636	48.07316	45.33442	723.575	6839.42	0.87064
mof_11637	18.57455	16.27154	1880.55	3536.8	0.5586
mof_11638	15.03535	11.91516	2245.09	3589.4	0.48362
mof_11639	14.53109	13.21169	2049.54	3399.28	0.5194
mof_1163	47.81049	46.83731	1038.8	4635.01	0.7696
mof_11640	23.13505	21.75	1549.24	3170.12	0.56448
mof_11641	20.75856	19.54655	1515.02	2991.67	0.5493
mof_11642	22.2111	20.76684	1544.36	3083.26	0.57122
mof_11643	15.92003	15.52552	1505.83	2111.27	0.46918
mof_11644	20.66144	19.2462	1483.98	3952.25	0.59756
mof_11645	26.06846	24.28467	1362.29	3759.3	0.6219
mof_11646	22.8044	21.00604	1496.12	4635.3	0.64858
mof_11647	18.6818	17.70103	1572.77	4210.1	0.6377
mof_11648	27.56217	26.19978	1315.27	5479.91	0.7217
mof_11649	30.02081	28.99428	1261.08	5464.63	0.73136
mof_1164	42.18469	40.16825	1219.8	4024.04	0.70896
mof_11650	29.44019	28.28682	1245.32	5858.46	0.75742
mof_11651	27.64194	26.17944	1275.22	5336.35	0.7245
mof_11652	27.85835	26.67993	1213.17	4898.85	0.74
mof_11653	31.55842	29.78944	1234.85	6075.89	0.75488
mof_11654	14.70129	13.79654	1829.68	3312.91	0.50064
mof_11655	31.36414	29.8663	1194.58	5990.98	0.75842
mof_11656	30.53569	28.82102	1179.68	5574.84	0.75764
mof_11657	29.56089	27.00817	1230.06	5395.13	0.73346
mof_11658	31.18221	29.58244	1173.21	5705.18	0.75354
mof_11659	33.35488	31.86753	1105.51	6025.05	0.77384
mof_1165	42.64641	40.44628	1159.72	4124.93	0.72628
mof_11660	33.79757	32.00531	1088.79	5827.58	0.77812
mof_11661	30.34419	28.1413	1101.95	5262.72	0.77942
mof_11662	35.3311	33.46626	976.808	6783.6	0.82062
mof_11663	32.61776	31.13218	1064.58	5843.59	0.77952
mof_11664	35.87934	34.42176	988.576	6752.84	0.81008
mof_11665	20.96916	19.94218	1594.03	4097.36	0.60876
mof_11666	28.43348	26.53564	1022.78	6190.68	0.80442
mof_11667	31.76569	29.41594	1145.62	5005.78	0.72358
mof_11668	35.90607	33.61057	1114.47	6989.85	0.79806
mof_11669	36.05337	33.86613	1119.53	6973.0	0.79184
mof_1166	43.35806	41.65693	1131.24	4300.58	0.73846
mof_11670	37.6676	35.50812	1002.67	7188.4	0.81844
mof_11671	38.04674	35.93175	949.485	6586.76	0.82988
mof_11672	34.22538	32.2939	958.817	5959.36	0.8031
mof_11673	37.30047	34.38783	968.869	6858.09	0.81826
mof_11674	36.5169	35.53676	941.034	6786.92	0.822
mof_11675	37.8443	35.99043	909.914	6633.17	0.8229
mof_11676	23.32689	22.68685	1521.95	4383.13	0.6545
mof_11677	38.23905	35.67234	932.695	6548.76	0.82098
mof_11678	38.71931	37.61779	895.224	6742.65	0.82848
mof_11679	39.46719	37.9761	858.11	6029.48	0.83962
mof_1167	43.11904	41.69862	1144.61	4289.84	0.7416
mof_11680	42.49025	40.20747	821.402	6738.11	0.84204
mof_11681	40.85724	38.21208	803.181	6415.59	0.84636
mof_11682	39.62334	37.53404	795.954	5837.24	0.85278
mof_11683	45.61146	43.38979	715.991	7349.74	0.86838
mof_11684	46.49106	43.82479	753.479	7779.41	0.86714
mof_11685	23.26304	22.43	1559.95	4440.78	0.64202
mof_11686	17.25828	16.45432	1730.6	4047.24	0.57116
mof_11687	24.37605	23.38646	1499.79	4240.15	0.65508
mof_11688	24.89122	24.05729	1448.09	3913.93	0.61404
mof_11689	20.71479	18.97938	1499.61	3735.17	0.58048
mof_1168	42.83151	41.94631	1132.9	4012.61	0.75336
mof_11690	21.73789	20.00255	1430.92	3636.83	0.60642
mof_11691	16.36053	15.57284	1374.94	1762.8	0.45616
mof_11692	22.57401	21.05271	1554.38	4141.52	0.59896
mof_11693	23.97874	22.73542	1440.26	3635.51	0.60024
mof_11694	24.39361	22.11073	1466.19	4438.84	0.64846
mof_11695	22.46102	20.95468	1467.54	4116.74	0.66288
mof_11696	29.77111	28.71699	1280.42	5147.92	0.71992
mof_11697	29.68015	27.86487	1286.01	5224.97	0.72206
mof_11698	29.42777	28.59157	1225.45	5376.26	0.74806
mof_11699	25.76212	23.89068	1318.52	5200.48	0.71302
mof_1169	42.10268	41.6119	1116.2	4804.01	0.77584
mof_116	2.082	1.25607	0.0	0.0	0.0
mof_11700	26.33215	24.54287	1268.18	4812.95	0.73062
mof_11701	31.43993	29.25244	1214.14	5871.51	0.75766
mof_11702	16.42421	14.64993	1723.5	3111.61	0.50774
mof_11703	32.07571	30.59832	1186.77	5697.8	0.75528
mof_11704	31.75388	30.03304	1128.97	5367.05	0.76238
mof_11705	32.35861	29.96292	1186.45	5317.1	0.74502
mof_11706	33.76429	31.54766	1106.26	5488.93	0.76342
mof_11707	35.49897	33.04184	1068.94	5731.57	0.77596
mof_11708	34.42264	32.46246	1056.61	5581.84	0.78022
mof_11709	34.95019	32.08278	1027.39	5123.23	0.79362
mof_1170	41.89583	40.68607	1156.02	4143.93	0.72704
mof_11710	35.71219	34.04883	969.096	6374.61	0.81638
mof_11711	29.7938	27.72683	1106.43	5643.76	0.7706
mof_11712	35.84387	34.32121	971.717	6457.07	0.80882
mof_11713	21.72945	21.06153	1488.84	3643.89	0.60318
mof_11714	37.89391	36.51626	926.724	5992.97	0.82124
mof_11715	33.9731	31.30444	1129.78	5197.04	0.7387
mof_11716	37.08145	35.14618	1088.78	6656.72	0.79584
mof_11717	36.66321	34.85593	1082.33	6563.2	0.7913
mof_11718	38.71533	37.14214	974.243	6719.07	0.81534
mof_11719	38.5166	36.62664	921.049	6195.9	0.82852
mof_1171	44.75159	43.72837	1087.69	4867.56	0.7648
mof_11720	39.05659	36.43636	918.428	5832.18	0.812
mof_11721	37.94887	34.17645	940.163	6608.51	0.82212
mof_11722	37.77953	36.68142	924.667	6471.71	0.82128
mof_11723	40.01638	37.2392	885.194	6415.99	0.82418
mof_11724	23.26297	22.81561	1544.19	4075.76	0.634
mof_11725	38.04115	35.68942	889.9	6284.46	0.82536
mof_11726	40.85581	37.42565	870.382	6602.44	0.83118
mof_11727	41.90749	39.19172	807.285	5831.79	0.84762
mof_11728	43.80131	40.97138	790.854	6553.33	0.8475
mof_11729	44.20139	40.03529	757.75	6174.48	0.85212
mof_1172	26.96385	25.83415	1376.31	2114.97	0.52338
mof_11730	43.60337	40.21508	740.975	5675.91	0.85888
mof_11731	46.69572	41.94821	695.581	7132.93	0.8697
