MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
ECODEG_clean	5.33632	3.54871	1281.19	950.144	0.0642
ECODIK_clean	4.79857	4.01377	2144.84	1787.65	0.10788
ECODOQ_clean	4.25807	3.05825	0.0	0.0	0.02444
ECOGEI_clean	4.77299	3.85637	1575.37	1577.38	0.07638
ECOKAJ_clean	18.9972	17.57546	1158.02	3559.51	0.71066
ECOLEP_clean	11.63969	10.91794	1832.95	4501.0	0.61548
ECOLOX_clean	5.75377	5.01577	1883.39	503.629	0.12766
ECORIX_clean	3.90772	3.03659	0.0	0.0	0.02354
ECOROD_clean	4.00683	3.00159	0.0	0.0	0.0238
ECOSIY_clean	3.93149	2.78811	0.0	0.0	0.0
ECUCIP_clean	3.79378	2.644	0.0	0.0	0.0
ECUCOV_clean	3.75468	2.59179	0.0	0.0	0.0
ECUCUB_clean	3.57107	2.8656	0.0	0.0	0.00262
ECUDAI_clean	4.88875	3.08033	0.0	0.0	0.04702
ECUDEM_clean	4.87095	3.12705	885.131	586.195	0.04842
ECUDIR_charged	5.33987	4.51439	899.477	340.179	0.05534
ECUDOX_clean	6.82408	6.14054	1917.36	819.346	0.17488
ECUFAL_charged	5.3241	4.46702	906.957	311.432	0.0511
ECUFEP_charged	5.27771	4.42008	889.802	303.305	0.04896
ECUGEQ_clean	6.02953	4.07384	2043.59	888.872	0.14808
ECUTON_clean	3.86672	2.51427	0.0	0.0	0.0
EDABOC_clean	5.13779	3.12592	797.531	469.785	0.04732
EDADET_clean	4.03192	3.23199	610.367	285.197	0.02228
EDADIX_clean	4.63332	3.88728	1330.88	1070.18	0.0575
EDAFUM_clean	4.92982	3.72004	999.705	563.843	0.05308
EDAGAT_clean	4.66461	3.62215	930.46	504.143	0.0421
EDAGEX_clean	4.90414	3.69066	1028.88	573.371	0.05152
EDAPIK_clean_h	7.09885	6.53196	2449.33	3640.75	0.23916
EDATOT_clean	9.62468	7.97439	2323.8	3478.6	0.45992
EDAVOV_clean	5.43147	4.91725	537.744	329.5	0.03414
EDECOG_clean	6.30911	4.65211	3373.04	2022.69	0.28268
EDEPAG_clean	5.9343	4.39186	1441.43	975.546	0.11388
EDIKEH_clean	4.16677	2.6775	0.0	0.0	0.0
EDIKIL_clean	4.99635	3.98785	2345.95	1749.14	0.12112
EDOMAM_clean	8.29315	6.04438	2243.26	2770.12	0.26038
EDORIY_charged	6.08641	4.10073	765.216	278.633	0.05812
EDOYOL_clean	5.01736	3.38311	440.148	225.49	0.01816
EDUSIF_clean	15.0742	7.91583	2187.24	3686.33	0.50246
EDUSUR_clean	14.97276	6.60675	2100.25	2914.23	0.41566
EDUTIG_clean	15.04959	5.6073	2035.99	2855.91	0.37616
EDUVOO_clean	20.93415	10.62864	1751.87	4691.63	0.63878
EFAYEQ_clean_h	11.3339	8.20988	2295.01	5154.74	0.49954
EFAYIU_clean	11.56521	8.64377	2249.33	5187.83	0.51526
EFEGOM_clean	6.13983	5.63757	1630.44	1455.9	0.14124
EFESEP_clean	10.28948	6.13196	1532.8	1684.08	0.19364
EFESOZ_clean	10.40168	6.18945	1525.56	1669.65	0.19476
EFILUA_clean	5.24567	3.1446	763.884	305.505	0.04044
EFIMOV_clean	6.67559	6.34874	950.633	536.604	0.09284
EFIMUB_clean	4.12343	2.61688	0.0	0.0	0.0
EFOGOX_clean	6.79171	3.24561	1379.05	1350.78	0.08246
