MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
acs.inorgchem.6b00081_ic6b00081_si_001_clean	7.28268	5.80542	848.435	730.056	0.0806	0.0	0.0026666666666666	0.0542222222222222	0.0077777777777777	0.0053333333333333	0.0066666666666666	0.0026666666666666	0.0013333333333333	0.0093333333333333	0.91
acs.inorgchem.6b00433_ic6b00433_si_002_clean	5.96211	4.62167	1242.29	1125.28	0.09456	0.0	0.0151098901098901	0.0494505494505494	0.0128205128205128	0.0146520146520146	0.0064102564102564	0.0054945054945054	0.0036630036630036	0.0027472527472527	0.8896520146520148
acs.inorgchem.6b00894_ic6b00894_si_002_clean	6.64699	4.59021	1321.63	1194.0	0.09834	0.0	0.0398496240601503	0.0325814536340852	0.0131578947368421	0.0122807017543859	0.006892230576441	0.0055137844611528	0.0045112781954887	0.0047619047619047	0.8804511278195492
acs.inorgchem.6b00894_ic6b00894_si_003_clean	5.39452	2.99444	0.0	0.0	0.03576	0.0	0.0164473684210526	0.0086722488038277	0.0053827751196172	0.0046351674641148	0.0046351674641148	0.0038875598086124	0.002840909090909	0.0035885167464114	0.9499102870813398
acs.inorgchem.6b01569_ic6b01569_si_002_clean	6.29847	5.43889	923.304	829.367	0.08464	0.0	0.0019536019536019	0.0498168498168498	0.0185592185592185	0.0117216117216117	0.0068376068376068	0.0058608058608058	0.0039072039072039	0.0034188034188034	0.8979242979242981
acs.inorgchem.6b01740_ic6b01740_si_002_clean	15.68052	8.0633	2322.46	4906.73	0.48574	0.0	0.0	0.0401234567901234	0.272119341563786	0.1474622770919067	0.0233196159122084	0.0205761316872428	0.0154320987654321	0.0082304526748971	0.4727366255144034
acs.inorgchem.6b02407_ic6b02407_si_002_clean	6.36153	3.76503	2220.59	2311.21	0.16304	0.0	0.0098765432098765	0.1192239858906525	0.0275132275132275	0.0176366843033509	0.0112874779541446	0.0169312169312169	0.0077601410934744	0.0091710758377425	0.7805996472663141
acs.inorgchem.6b02407_ic6b02407_si_003_clean	6.24791	4.32537	1801.7	1605.97	0.1359	0.0	0.0289523809523809	0.0702857142857142	0.0205714285714285	0.0220952380952381	0.0118095238095238	0.0068571428571428	0.0091428571428571	0.003047619047619	0.8272380952380954
acs.inorgchem.6b02413_ic6b02413_si_002_clean	13.37731	6.88163	2245.39	2791.81	0.39442	0.0	0.0	0.0355636843977035	0.2737387593354672	0.0779860793578215	0.0182898948331046	0.0012193263222069	0.0060966316110349	0.0073159579332418	0.5797896662094194
acs.inorgchem.6b02514_ic6b02514_si_002_clean	6.09101	5.53211	1678.68	1242.03	0.12362	0.0	0.0005411255411255	0.0681818181818181	0.0292207792207792	0.0167748917748917	0.0102813852813852	0.0113636363636363	0.0086580086580086	0.0081168831168831	0.846861471861472
acs.inorgchem.6b02696_ic6b02696_si_002_clean	12.13124	5.0609	2319.21	2552.18	0.26378	0.0	0.0031630417434453	0.0727064320018571	0.1453838452721232	0.0349095341042643	0.016540677007008	0.0127972606317377	0.0114043615153581	0.0097502938146573	0.6933445539095489
acs.jchemed.6b00258_ed6b00258_si_005_clean	4.54949	3.31507	592.382	403.992	0.02482	0.0	0.0061728395061728	0.0061728395061728	0.0044091710758377	0.0039682539682539	0.0052910052910052	0.0026455026455026	0.001763668430335	0.0	0.9695767195767198
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean	8.49751	4.07254	1883.16	1480.03	0.15582	0.0	0.0061224489795918	0.0775510204081632	0.0433673469387755	0.0183673469387755	0.0173469387755101	0.0183673469387755	0.0183673469387755	0.0081632653061224	0.7923469387755103
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean	14.70209	8.11021	2179.09	3466.81	0.51522	0.0	0.0	0.0042587170614852	0.326457279744477	0.169017833377695	0.0179664626031407	0.0075858397657705	0.0071865850412563	0.0065211605003992	0.4610061219057759
ACUBAB_clean	6.48174	4.30295	1309.85	567.174	0.0955	0.0	0.0	0.0638586956521738	0.0217391304347826	0.0163043478260869	0.0081521739130434	0.0040760869565217	0.0	0.0040760869565217	0.8817934782608698
ACUFEK_clean	15.55627	9.00897	2211.62	3953.34	0.46404	0.0	0.00018310546875	0.0238037109374999	0.3351135253906251	0.08856201171875	0.0210571289062499	0.0096435546875	0.005859375	0.00640869140625	0.5093688964843751
ACUJOZ_manual	11.50806	7.82539	2412.76	3475.17	0.36674	0.0	0.0	0.0522999369880277	0.2743496264290216	0.0344090377171662	0.0170132325141776	0.0149878476910613	0.010802052389954	0.0102619497704563	0.5858763165001352
ACUTOI_clean	5.192	4.5372	904.302	525.775	0.05778	0.0	0.0324675324675324	0.0116883116883116	0.0051948051948051	0.0038961038961038	0.0077922077922077	0.0051948051948051	0.0025974025974025	0.0038961038961038	0.9272727272727276
ADABIS_clean	3.98906	3.05237	0.0	0.0	0.00904	0.0009496676163342	0.0018993352326685	0.0	0.0018993352326685	0.0018993352326685	0.0018993352326685	0.0	0.0037986704653371	0.0	0.9876543209876544
ADABUE_clean	4.54949	3.31506	581.588	396.631	0.02562	0.0	0.0065843621399176	0.0098765432098765	0.0016460905349794	0.0024691358024691	0.0032921810699588	0.0032921810699588	0.0016460905349794	0.0049382716049382	0.966255144032922
ADARAA_clean	12.29205	5.40077	2327.57	2639.17	0.26966	0.0	0.0023327015599941	0.0641492928998396	0.1514069106283715	0.061597900568596	0.0119550954949701	0.0170578801574573	0.0093308062399766	0.0109345385624726	0.671234873888322
ADASAB_charged	22.82402	13.49014	1663.93	4837.84	0.65452	0.0	0.0	0.0034238683127572	0.222244170096022	0.408724279835391	0.0205432098765431	0.0121152263374485	0.0084279835390946	0.0055308641975308	0.3189903978052127
ADASEF_clean	21.62414	10.92309	1820.3	4178.78	0.61104	0.0	0.0001457938474996	0.016766292462458	0.2473757107450066	0.332009039218545	0.0190260970987024	0.0157457355299606	0.0069981046799825	0.0030616707974923	0.3588715556203529
ADASIJ_clean	18.23438	6.60024	2248.75	3573.7	0.44004	0.0	0.0003280167288531	0.0416581245643527	0.2840624871868465	0.097297962196072	0.0137767026118331	0.0103325269588749	0.0131206691541268	0.0157448029849522	0.5236787076140884
ADASOP_clean	18.07262	6.71346	2268.07	3590.77	0.43724	0.0	0.0003280167288531	0.0519906515232276	0.2735659518635451	0.1018901964000164	0.0147607527983927	0.0096764935011685	0.0082004182213292	0.0095124851367419	0.5300750338267253
ADASUV_clean	17.16775	6.7332	2336.95	3734.98	0.41348	0.0	0.0	0.04034605764894	0.2695477469350937	0.0954118660051662	0.0219771208331624	0.0141047193406863	0.0103325269588749	0.0088564516790356	0.5394235105990407
ADATAC_clean	26.33515	10.27637	1726.43	5118.84	0.6458	0.0	0.0005	0.0086874999999999	0.2568125	0.3605000000000001	0.0146249999999999	0.01125	0.0076875	0.009	0.3309375000000001
ADATEG_manual	27.33782	13.33904	1462.29	6124.09	0.7111	0.0	0.0	0.0010669849537037	0.2121762876157407	0.4816080729166668	0.0148292824074073	0.0071614583333333	0.0076859085648148	0.0045030381944444	0.2709689670138889
ADATIK_clean	24.55082	12.17426	1703.47	4511.57	0.64816	0.0	0.0001160749263649	0.0101565560569347	0.2308730285399226	0.3968166451444408	0.0120717923419567	0.0088216944037376	0.0098083312778398	0.0075448702137229	0.3237910070950799
ADATOQ_clean	10.5421	9.07611	2375.81	3758.73	0.37086	0.0	0.001472	0.0430719999999999	0.232192	0.07136	0.0168959999999999	0.011712	0.008832	0.009984	0.6044800000000001
ADATUW_clean	10.34629	8.86044	2433.78	3799.14	0.3546	0.0	0.001536	0.0410879999999999	0.231104	0.060928	0.0157439999999999	0.014784	0.0096	0.007296	0.61792
ADAVAE_clean	10.21446	8.80719	2430.5	3708.77	0.34844	0.0	0.001728	0.0390399999999999	0.234304	0.05344	0.0161279999999999	0.013248	0.009216	0.008256	0.6246400000000001
ADAVEI_clean	10.15021	8.70819	2446.65	3728.13	0.3501	0.0	0.0019199999999999	0.0417279999999999	0.233472	0.052736	0.0163199999999999	0.013632	0.010176	0.006912	0.6231040000000001
ADAVIM_clean	10.34557	8.90065	2417.07	3790.99	0.3613	0.0	0.001472	0.0405759999999999	0.235648	0.05984	0.0190079999999999	0.011904	0.010176	0.008064	0.6133120000000001
ADAXEK_clean	5.76724	4.10445	1472.77	1165.69	0.09748	0.0	0.037037037037037	0.0436507936507936	0.0079365079365079	0.0052910052910052	0.0052910052910052	0.0	0.0079365079365079	0.0079365079365079	0.8849206349206351
ADAXIO_clean	5.72682	5.00855	1293.7	1010.22	0.09868	0.0	0.0351935646053293	0.0432378079436902	0.0085470085470085	0.0085470085470085	0.0085470085470085	0.0080442433383609	0.004524886877828	0.0050276520864756	0.8783308195072903
ADEGIA01_clean	4.82721	2.87092	0.0	0.0	0.04336	0.0	0.0159090909090909	0.0181818181818181	0.009090909090909	0.009090909090909	0.0056818181818181	0.0022727272727272	0.0068181818181818	0.0022727272727272	0.9306818181818184
ADEGIA_clean	4.84442	2.87756	0.0	0.0	0.04502	0.0	0.0181818181818181	0.0136363636363636	0.0136363636363636	0.0113636363636363	0.0045454545454545	0.0034090909090909	0.0068181818181818	0.0022727272727272	0.926136363636364
ADIQEL_clean	4.43355	3.91364	949.133	766.894	0.0473	0.0102272727272727	0.0147727272727272	0.009090909090909	0.0136363636363636	0.0068181818181818	0.0022727272727272	0.0045454545454545	0.0	0.0	0.9386363636363638
ADOBAX_charged	5.54673	3.76596	568.35	346.985	0.0388	0.0	0.0098863074641621	0.0219970341077607	0.0108749382105783	0.0079090459713297	0.0059317844784972	0.0079090459713297	0.0069204152249134	0.0029658922392486	0.92560553633218
ADOBEB_charged	5.50949	3.76943	566.319	345.746	0.03884	0.0	0.0098863074641621	0.0219970341077607	0.0108749382105783	0.0069204152249134	0.0069204152249134	0.0059317844784972	0.0088976767177459	0.0039545229856648	0.9246169055857638
ADOBOL_charged	5.48974	3.85295	548.082	319.363	0.03512	0.0	0.0118635689569945	0.0108749382105783	0.0128521997034107	0.0130993573900148	0.0029658922392486	0.0039545229856648	0.0088976767177459	0.0029658922392486	0.9325259515570936
ADOBUR_charged	5.46006	3.86825	523.25	307.694	0.034	0.0	0.0108749382105783	0.0170538803756796	0.0088976767177459	0.0069204152249134	0.0069204152249134	0.0059317844784972	0.0088976767177459	0.0029658922392486	0.9315373208106774
ADOCEC_clean	5.40135	3.83278	1082.09	704.743	0.0677	0.0	0.0118635689569945	0.0341077607513593	0.0197726149283242	0.0148294611962432	0.0128521997034107	0.0069204152249134	0.0118635689569945	0.0059317844784972	0.8818586258032626
ADODAA_charged	10.017	4.9065	2178.67	2097.37	0.24404	0.0	0.0	0.0485908649173955	0.1679084332145557	0.032825828744196	0.0116618075801749	0.0097181729834791	0.0129575639779721	0.0090702947845805	0.7072670337976462
ADODII_clean	5.97541	5.30365	1165.02	957.593	0.08938	0.0	0.03125	0.034438775510204	0.0127551020408163	0.0070153061224489	0.0095663265306122	0.0070153061224489	0.003188775510204	0.0044642857142857	0.8903061224489799
